"roomType","numOfRooms","customerName","customerTel","channel","unitPrice","checkInDate","checkOutDate"
"SINGLE","1","c155","15695478973","_3RD_PARTY_WEBSITE","230.0","2015/12/15","2015/12/18"
"SEMIDOUBLE","4","c869","18028376244","_3RD_PARTY_WEBSITE","190.0","2015/12/15","2015/12/17"
"DOUBLE","4","c915","15384509531","TELEPHONE","200.0","2015/12/15","2015/12/18"
"TWIN","3","c983","18763590044","_3RD_PARTY_WEBSITE","200.0","2015/12/15","2015/12/17"
"TRIPLE","3","c997","13281620466","OTHERS","210.0","2015/12/15","2015/12/17"
"SUITE","3","c981","13687281280","TRAVEL_AGENT","300.0","2015/12/15","2015/12/18"
"SINGLE","1","c753","13584646376","OFFICIAL_WEBSITE","230.0","2015/12/12","2015/12/15"
"SEMIDOUBLE","2","c966","15828752341","TELEPHONE","190.0","2015/12/12","2015/12/15"
"DOUBLE","1","c996","1525179842","_3RD_PARTY_WEBSITE","200.0","2015/12/12","2015/12/15"
"TWIN","5","c92","18075374620","OTHERS","200.0","2015/12/12","2015/12/15"
"TRIPLE","4","c360","13312241575","OTHERS","210.0","2015/12/12","2015/12/14"
"SUITE","2","c38","13051846770","_3RD_PARTY_WEBSITE","300.0","2015/12/12","2015/12/15"
"SINGLE","5","c928","13139038591","TELEPHONE","230.0","2015/12/09","2015/12/11"
"SEMIDOUBLE","3","c92","13362722237","_3RD_PARTY_WEBSITE","190.0","2015/12/09","2015/12/11"
"DOUBLE","2","c236","15275397290","TRAVEL_AGENT","200.0","2015/12/09","2015/12/12"
"TWIN","5","c177","15267214972","TELEPHONE","200.0","2015/12/09","2015/12/11"
"TRIPLE","3","c967","18783082343","TRAVEL_AGENT","210.0","2015/12/09","2015/12/12"
"SUITE","4","c82","15934876209","OFFICIAL_WEBSITE","300.0","2015/12/09","2015/12/11"
"SINGLE","4","c554","1349128652","TRAVEL_AGENT","230.0","2015/12/06","2015/12/07"
"SEMIDOUBLE","2","c433","13693067381","OTHERS","190.0","2015/12/06","2015/12/07"
"DOUBLE","5","c221","15224925796","_3RD_PARTY_WEBSITE","200.0","2015/12/06","2015/12/08"
"TWIN","4","c348","15964897185","_3RD_PARTY_WEBSITE","200.0","2015/12/06","2015/12/08"
"TRIPLE","3","c378","18713481072","TELEPHONE","210.0","2015/12/06","2015/12/09"
"SUITE","4","c528","15119827989","OFFICIAL_WEBSITE","300.0","2015/12/06","2015/12/09"
"SINGLE","1","c131","15557534179","_3RD_PARTY_WEBSITE","230.0","2015/12/03","2015/12/04"
"SEMIDOUBLE","1","c896","18945879814","OFFICIAL_WEBSITE","190.0","2015/12/03","2015/12/04"
"DOUBLE","3","c58","15936300401","_3RD_PARTY_WEBSITE","200.0","2015/12/03","2015/12/05"
"TWIN","4","c74","13126864785","TELEPHONE","200.0","2015/12/03","2015/12/05"
"TRIPLE","2","c716","15289805362","_3RD_PARTY_WEBSITE","210.0","2015/12/03","2015/12/04"
"SUITE","2","c419","13481644782","OFFICIAL_WEBSITE","300.0","2015/12/03","2015/12/04"
"SINGLE","4","c640","15253189259","_3RD_PARTY_WEBSITE","230.0","2015/11/30","2015/12/01"
"SEMIDOUBLE","5","c219","13361764820","OFFICIAL_WEBSITE","190.0","2015/11/30","2015/12/02"
"DOUBLE","2","c531","15273942885","OTHERS","200.0","2015/11/30","2015/12/01"
"TWIN","1","c172","13526175313","_3RD_PARTY_WEBSITE","200.0","2015/11/30","2015/12/01"
"TRIPLE","3","c826","1348992598","OFFICIAL_WEBSITE","210.0","2015/11/30","2015/12/03"
"SUITE","2","c435","13563188412","TRAVEL_AGENT","300.0","2015/11/30","2015/12/01"
"SINGLE","4","c840","13330886885","TELEPHONE","230.0","2015/11/27","2015/11/30"
"SEMIDOUBLE","4","c287","18725331152","TRAVEL_AGENT","190.0","2015/11/27","2015/11/28"
"DOUBLE","4","c771","15674933747","OFFICIAL_WEBSITE","200.0","2015/11/27","2015/11/28"
"TWIN","5","c120","13164260059","OTHERS","200.0","2015/11/27","2015/11/28"
"TRIPLE","3","c233","18014867517","TRAVEL_AGENT","210.0","2015/11/27","2015/11/29"
"SUITE","1","c953","13979995420","OFFICIAL_WEBSITE","300.0","2015/11/27","2015/11/30"
"SINGLE","2","c535","13270364165","OTHERS","230.0","2015/11/24","2015/11/25"
"SEMIDOUBLE","5","c705","13095744563","OTHERS","190.0","2015/11/24","2015/11/27"
"DOUBLE","5","c58","15969787097","OTHERS","200.0","2015/11/24","2015/11/27"
"TWIN","2","c12","15330256058","TELEPHONE","200.0","2015/11/24","2015/11/26"
"TRIPLE","4","c110","15580656244","OFFICIAL_WEBSITE","210.0","2015/11/24","2015/11/27"
"SUITE","5","c536","13869788153","TRAVEL_AGENT","300.0","2015/11/24","2015/11/25"
"SINGLE","5","c211","13723607503","OTHERS","230.0","2015/11/21","2015/11/22"
"SEMIDOUBLE","1","c18","13668008621","OFFICIAL_WEBSITE","190.0","2015/11/21","2015/11/22"
"DOUBLE","1","c124","15248851063","OFFICIAL_WEBSITE","200.0","2015/11/21","2015/11/24"
"TWIN","4","c669","13539715511","OFFICIAL_WEBSITE","200.0","2015/11/21","2015/11/22"
"TRIPLE","1","c727","13278227781","OFFICIAL_WEBSITE","210.0","2015/11/21","2015/11/23"
"SUITE","5","c965","15030764528","OFFICIAL_WEBSITE","300.0","2015/11/21","2015/11/22"
"SINGLE","1","c676","18989460285","OTHERS","230.0","2015/11/18","2015/11/21"
"SEMIDOUBLE","1","c540","13364851431","OTHERS","190.0","2015/11/18","2015/11/21"
"DOUBLE","1","c258","13069374633","_3RD_PARTY_WEBSITE","200.0","2015/11/18","2015/11/19"
"TWIN","5","c386","15248488784","TRAVEL_AGENT","200.0","2015/11/18","2015/11/21"
"TRIPLE","2","c446","13394421698","_3RD_PARTY_WEBSITE","210.0","2015/11/18","2015/11/19"
"SUITE","1","c788","13892447815","OTHERS","300.0","2015/11/18","2015/11/19"
"SINGLE","4","c229","18762063874","_3RD_PARTY_WEBSITE","230.0","2015/11/15","2015/11/16"
"SEMIDOUBLE","4","c645","1537493159","OTHERS","190.0","2015/11/15","2015/11/16"
"DOUBLE","4","c538","15623971856","TELEPHONE","200.0","2015/11/15","2015/11/18"
"TWIN","4","c21","1343447354","TELEPHONE","200.0","2015/11/15","2015/11/17"
"TRIPLE","3","c356","15562467036","TRAVEL_AGENT","210.0","2015/11/15","2015/11/17"
"SUITE","4","c699","13446280325","TRAVEL_AGENT","300.0","2015/11/15","2015/11/18"
"SINGLE","3","c605","15750305533","OFFICIAL_WEBSITE","230.0","2015/11/12","2015/11/14"
"SEMIDOUBLE","4","c498","13625577673","TRAVEL_AGENT","190.0","2015/11/12","2015/11/13"
